Device,CPN,Video ID,Video format,Audio format,Volume/Normalized,Bandwidth,Readahead,Viewport,Dropped frames,Mystery Text
LGE Nexus 5 8.1.0,-3LGC-rVmIOdgTRc,Cc1VHYGhtmc,136 avc1 720x1280@24,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -2.5 dB), 0.00 kbps, 22.1 s,1080x1704xfalse,0 / 159,GQ:52.4s;
LGE Nexus 5 8.1.0,-3LGC-rVmIOdgTRc,Cc1VHYGhtmc,137 avc1 1080x1920@24,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -2.5 dB), 0.00 kbps, 22.8 s,1080x1704xfalse,12 / 339,GQ:44.9s;
